id,tweet,favourites,retweets,followers,is_covid
1313091027239088132,"""It seems incredible to think that when the #EB146 met in Feb, there were just 151 cases &amp; 1 death outside 🇨🇳 of what we now call #COVID19.

Today, almost 35M cases of COVID-19 have now been reported to WHO, &amp; 1M+ people are reported to have lost their lives""-@DrTedros #EBSpecial https://t.co/QbTdKwTVds",44,33,12269131,True
1252273016656072704,RT @AlderleyPark: The second mega-lab for #Covid19 testing based here at #AlderleyPark has begun testing thousands of patient samples a day…,0,54,691759,True
1248352917968629760,"22- 23 Jan 2020: @DrTedros convenes an Emergency Committee under the International Health Regulations to assess whether the #COVID19 outbreak constitutes a public health emergency of international concern. #coronavirus

https://t.co/GokqWxrKXN",67,25,12269131,True
1284771206726512641,"The NHS Test and Trace service will help:

➡️ reduce the spread of #coronavirus in your community
➡️ allow a gradual return to a more normal life.

Here's how you can help ⬇️
https://t.co/Z3puUH0E5E https://t.co/XQ5POj6d49",23,10,691759,True
1334879931503964161,"""We've secured supplies of #dexamethasone – the only 💊 shown to reduce the risk of death from #COVID19 – for up to 4.5M patients in lower-income countries.

As part of the @ACTAccelerator, 189 countries &amp; economies are participating in the COVAX facility""-@DrTedros #ACTogether",53,16,12269132,True
1275457401202843649,"Burkina Faso is a priority country for the Humanitarian Air Bridge flights.

The flights carry essential supplies and humanitarian workers, as the country still faces conflict and violence: https://t.co/2aqfyq5Wvo

#UnitedAgainstCoronavirus #StrongerTogether https://t.co/QRLDMWBhIi",72,24,1822572,True
1252941371343765505,"@DailyMailUK This is misleading.

There is no shortage of nurses and all coronavirus patients who need treatment are being treated in existing London hospitals.

Nurses working across the city have received additional training and can be deployed to NHS Nightingale should capacity be reached.",238,25,691759,True
1271031468647747586,"Today's #COVID19 update (11.06.2020)

Global:
▪ 7 343 562 cases
▪ 416 430 deaths

EU/EEA/UK:
▪ 1 454 718 cases
▪ 170 294 deaths

Find all info: https://t.co/TE7KD96Va2
Latest #RapidRiskAssessment: https://t.co/6RoGoshwNj
#SARSCoV2",14,16,105552,True
1246789693053833216,"Need #COVID19 information in a different language? Check out CDC’s COVID-19 web pages in Spanish, simplified Chinese, Vietnamese, and Korean: https://t.co/tt49zOn1hf. https://t.co/tpX4Z3l9xr",567,564,5554475,True
1293891502113017861,"RT @WHO_Europe_RU: Будьте добры к окружающим и помогайте избавиться от страха перед #коронавирусом.
#COVID19 https://t.co/lKCOJjpcGU",0,9,12269132,True
1315561817310142465,"Self-isolation is vitally important to stop #COVID19 from spreading. 

It protects your friends, family and the community. 

Read more: https://t.co/gUgHjVHxot",87,80,512867,True
1256185605685481473,The U.S. Gov is helping Zambia prepare for #COVID19 as cases increase across the country. @CDCinZambia Country Director Dr. Simon Agolory spoke with local media to provide updates on COVID-19 and the steps everyone can take to help reduce spread in the community. https://t.co/Ci078KxpH7,11,4,177593,True
1267581723744833539,"Think about what you say &amp; how you say it when talking to children about #COVID19. Be calm, reassuring, &amp; honest. Use simple language that doesn’t blame others. Learn more: https://t.co/Iuqoa9F0RD #PrepYourHealth https://t.co/3292qqLLFg",27,11,1958449,True
1288793688311771136,For more information on how you can protect yourself &amp; others from #COVID19 👉 https://t.co/zR1Qtso5nH,7,6,206117,True
1276632454443474945,"Today is the ‘International Day Against Drug Abuse and Illicit Trafficking’ 
  
@UNODC 🆕 World Drug Report 2020, covers issues related to #COVID19, drug use and possible impacts. 
  
More details 👉https://t.co/cNaD9W8DG8
https://t.co/FQutnK7uus",87,48,12269132,True
